"month","item","definition","uni_lemma","learned","value","value2"
19,262,"bathroom","bathroom",0,5,340
19,263,"bathtub","bathtub",0,1,132
19,264,"bed","bed",0,7,1767
19,265,"bedroom","bedroom",0,3,244
19,267,"chair","chair",0,4,1309
19,268,"closet","closet",0,3,114
19,269,"couch","couch",0,1,141
19,271,"door","door",0,7,1349
19,272,"drawer","drawer",0,1,112
19,274,"garage","garage",0,0,174
19,276,"kitchen","kitchen",0,2,480
19,278,"oven","oven",0,3,119
19,283,"refrigerator","refrigerator",0,0,167
19,284,"room","room",0,4,1490
19,286,"sink","sink",0,3,156
19,288,"stairs","stairs",0,0,228
19,289,"stove","stove",0,4,118
19,290,"table","table",0,4,1407
19,292,"window","window",0,3,518
19,297,"flower","flower",1,4,184
19,298,"garden","garden",0,3,208
19,299,"grass","grass",0,1,224
19,301,"ladder","ladder",0,1,143
19,303,"moon","moon",0,3,167
19,304,"pool","pool",0,0,149
19,305,"rain","rain",0,5,184
19,307,"roof","roof",0,1,163
19,311,"sky","sky",0,4,172
19,313,"snow","snow",0,4,421
19,316,"star","star",0,3,175
19,317,"stick","stick",0,1,493
19,319,"street","street",0,2,451
19,320,"sun","sun",0,8,269
19,322,"tree","tree",0,10,870
19,324,"wind","wind",0,0,257
20,14,"animal","animal",0,20,284
20,19,"bug","bug",0,2,138
20,20,"bunny","bunny",1,1,588
20,21,"butterfly","butterfly",0,0,100
20,27,"donkey","donkey",0,1,151
20,29,"elephant","elephant",0,1,372
20,31,"frog","frog",0,0,268
20,32,"giraffe","giraffe",0,1,126
20,35,"horse","horse",0,4,938
20,37,"lamb","lamb",0,1,140
20,38,"lion","lion",0,3,404
20,39,"monkey","monkey",0,2,380
20,41,"mouse","mouse",0,3,440
20,44,"pig","pig",0,2,405
20,46,"puppy","puppy",0,2,124
20,48,"sheep","sheep",0,1,192
20,51,"tiger","tiger",0,3,1049
20,52,"turkey","turkey",0,1,113
20,53,"turtle","turtle",0,0,243
