"item","definition","uni_lemma","type","IPA"
355,"bestefar","grandpa","word"," bəstˈeːfar"
356,"bestemor","grandma","word"," bəstˈeːmuːr"
358,"brannmann","firefighter","word"," brˈɑnmɑn"
359,"bror","brother","word"," brˈuːr"
361,"dame","lady","word"," dˈama"
363,"farfar","grandpa","word"," fˈɑrfar"
364,"farmor","grandma","word"," fˈɑrmuːr"
366,"gutt","boy","word"," ɡˈʉtː"
368,"jente","girl","word"," jˈɛnta"
371,"mamma","mommy","word"," mˈɑmmɑ"
372,"mann","man","word"," mˈɑn"
373,"mennesker","person","word"," mˈɛnnɛskər"
374,"morfar","grandpa","word"," mˈɔrfar"
375,"mormor","grandma","word"," mˈɔrmuːr"
377,"oldefar","great grandpa","word"," ˈɔlleːfˌar"
378,"oldemor","great grandma","word"," ˈɔlleːmˌuːr"
379,"onkel","uncle","word"," ˈɔŋkəl"
380,"pappa","daddy","word"," pˈɑpːɑ"
381,"politi","police","word"," pˈuːliːtˌiː"
383,"søster","sister","word"," sˈœstər"
384,"tante","aunt","word"," tˈɑnta"
388,"bade","bath","word"," bˈada"
389,"frokost","breakfast","word"," frˈuːkʊst"
391,"god natt","good night","word"," ɡˈuːd nˈɑtː"
392,"ha det","bye","word"," hɑ dˈeː"
395,"hei","hi","word"," hˈaɪ"
396,"hysj","shh","word"," hˈyʃ"
397,"ikke","don't","word"," ˈɪkːa"
398,"ja","yes","word"," jˈɑ"
400,"klappe kake","pattycake","word"," klˈɑpːa kˈaka"
402,"Borte!","peekaboo","word"," bˈʊrta"
403,"lunsj","lunch","word"," lˈʉnʃ"
404,"middag","dinner","word"," mˈɪdːaɡ"
405,"nei","no","word"," nˈaɪ"
408,"sovetid","nap","word"," sˈuːveːtˌiːd"
410,"takk","thank you","word"," tˈɑkː"
411,"vær så snill","please","word"," vˈaːr soː snˈɪl"
412,"vent","wait","word"," vˈɛnt"
413,"vil","wanna","word"," vˈiːl"
415,"bite","bite","word"," bˈiːta"
416,"blåse","blow","word"," blˈoːsa"
420,"danse","dance","word"," dˈɑnsa"
422,"drikke","drink (action)","word"," drˈɪkːa"
423,"dytte","push","word"," dˈytːa"
424,"elske","love","word"," ˈɛlska"
426,"falle","fall","word"," fˈɑlla"
428,"forte seg","hurry","word"," fˈʊrta sˈeːɡ"
429,"få","get","word"," fˈoː"
430,"gi","give","word"," jˈiː"
432,"gjøre seg ferdig","finish","word"," jˈøːra sˈeːɡ fˈardɪ"
434,"gråte","cry","word"," ɡrˈoːta"
435,"gå","walk","word"," ɡˈoː"
439,"hente","get","word"," hˈɛnta"
440,"hjelpe","help","word"," jˈɛlpa"
442,"holde øye med","watch (action)","word"," hˈɔlla ˈøya meːd"
443,"hoppe","jump","word"," hˈɔpːa"
444,"huske","swing (action)","word"," hˈʉska"
448,"kaste","throw","word"," kˈɑsta"
449,"kile","tickle","word"," xˈiːla"
451,"kjøre","drive","word"," xˈøːra"
454,"klemme","hug","word"," klˈɛmma"
457,"kysse","kiss","word"," xˈyssa"
461,"legge","put","word"," lˈɛɡːa"
462,"leke","play","word"," lˈeːka"
463,"lese","read","word"," lˈeːsa"
465,"lukke","close","word"," lˈʉkːa"
466,"løpe","run","word"," lˈøːpa"
468,"mate","feed","word"," mˈata"
472,"plaske","splash","word"," plˈɑska"
475,"ri","ride","word"," rˈiː"
478,"rydde","clean (action)","word"," rˈydːa"
480,"se","see","word"," sˈeː"
481,"se på","look","word"," sˈeː poː"
483,"si","say","word"," sˈiː"
487,"skrive","write","word"," skrˈiːva"
491,"slå","hit","word"," ʃlˈoː"
493,"smile","smile","word"," smˈiːla"
495,"sove","sleep","word"," sˈuːva"
496,"sparke","kick","word"," spˈɑrka"
498,"spise","eat","word"," spˈiːsa"
500,"stoppe","stop","word"," stˈɔpːa"
502,"synge","sing","word"," sˈyŋa"
503,"svømme","swim","word"," svˈœmma"
505,"ta","take","word"," tˈɑ"
506,"tegne","draw","word"," tˈɛŋna"
509,"dra","go","word"," drˈɑ"
510,"tørke","dry (action)","word"," tˈœrka"
511,"vaske","wash","word"," vˈɑska"
514,"vise","show","word"," vˈiːsa"
518,"ødelegge","break","word"," ˈøːdeːlˌɛɡːa"
520,"åpne","open (action)","word"," ˈɔpna"
522,"blå","blue","word"," blˈoː"
524,"borte","all gone","word"," bˈʊrta"
525,"bra","good","word"," brˈɑ"
529,"ekkelt","yucky","word"," ˈɛkːɛlt"
530,"fin","fine","word"," fˈiːn"
531,"forsiktig","careful","word"," fˈɔrʃɪktˌɪ"
533,"fort","fast","word"," fˈʊrt"
534,"frekk","bad","word"," frˈɛkː"
536,"gammel","old","word"," ɡˈɑmməl"
537,"glad","happy","word"," ɡlˈad"
