"item","definition","uni_lemma","type","IPA"
460,"poljubiti","kiss","word"," pˈoʎʊbˌɪtɪ"
461,"pomoći","help","word"," pˈomotɕɪ"
464,"prati","wash","word"," pɾˈatɪ"
469,"prskati","splash","word"," prskˈatɪ"
470,"puhati","blow","word"," pˈuhætɪ"
472,"razbiti","break","word"," ɾˈazbɪtɪ"
473,"reći","say","word"," ɾˈɛtɕɪ"
477,"skočiti","jump","word"," skˈotʃɪtɪ"
480,"smijati se","laugh","word"," smˈijætɪ sˈɛ"
481,"spavati","sleep","word"," spˈavætɪ"
484,"stati","stop","word"," stˈatɪ"
485,"staviti","put","word"," stˈavɪtɪ"
488,"škakljati","tickle","word"," ʃkˈakʎætɪ"
489,"šutnuti","kick","word"," ʃˈutnʊtɪ"
491,"trčati","run","word"," trtʃˈatɪ"
493,"trgati","tear","word"," trɡˈatɪ"
494,"tući","fight","word"," tˈutɕɪ"
495,"udariti se","hit","word"," ˈudɑrˌɪtɪ sˈɛ"
496,"uzeti","take","word"," ˈuzɛtɪ"
497,"vidjeti","see","word"," vˈidjetɪ"
498,"voljeti","love","word"," vˈoʎetɪ"
499,"voziti","drive","word"," vˈozɪtɪ"
500,"vući","pull","word"," vˈutɕɪ"
501,"zagrliti","hug","word"," zˈaɡrlɪtɪ"
502,"zatvoriti","close","word"," zˈatvorˌɪtɪ"
503,"žuriti","hurry","word"," ʒˈurɪtɪ"
505,"bolestan","sick","word"," bˈolɛstæn"
506,"boli","hurt (description)","word"," bˈolɪ"
508,"brzo","fast","word"," brzˈo"
511,"crvena","red","word"," tsrvˈɛnæ"
512,"čist(o)","clean (description)","word"," tʃˈist o"
513,"dobro","good","word"," dˈobɾo"
515,"fino","fine","word"," fˈino"
517,"gladan","hungry","word"," ɡlˈadæn"
519,"gotovo","finished","word"," ɡˈotovo"
520,"hladno","cold","word"," xlˈadno"
522,"krasno","beautiful","word"," kɾˈasno"
523,"lijep(o)","pretty","word"," lˈijep o"
525,"mal(o)","little (description)","word"," mˈal o"
526,"mekan(o)","soft","word"," mˈɛkæn o"
527,"mokro","wet (description)","word"," mˈokɾo"
528,"mrak","dark","word"," mɾˈak"
532,"nježno","gentle","word"," ɲˈeʒno"
534,"plava","blue","word"," plˈavæ"
535,"polako","slow","word"," pˈolæko"
536,"pospan(o)","sleepy","word"," pˈospæn o"
538,"prazno","empty","word"," pɾˈazno"
539,"prljav(o)","dirty","word"," prʎˈav o"
543,"ružno","ugly","word"," ɾˈuʒno"
546,"spava","asleep","word"," spˈavæ"
547,"sretan","happy","word"," sɾˈɛtæn"
548,"staro","old","word"," stˈɑro"
549,"suho","dry (description)","word"," sˈuho"
550,"teško","heavy","word"," tˈɛʃko"
552,"toplo","warm","word"," tˈoplo"
555,"umoran","tired","word"," ˈumoræn"
557,"velik(o)","big","word"," vˈɛlɪk o"
559,"vruće","hot","word"," vɾˈutɕɛ"
563,"zima","winter","word"," zˈimæ"
564,"zločesto","naughty","word"," zlˈotʃɛsto"
566,"žedan","thirsty","word"," ʒˈɛdæn"
567,"dan","day","word"," dˈan"
568,"danas","today","word"," dˈanæs"
570,"jutro","morning","word"," jˈutɾo"
572,"noć","night","word"," nˈotɕ"
573,"poslije","later","word"," pˈoslɪje"
575,"sada","now","word"," sˈadæ"
577,"sutra","tomorrow","word"," sˈutɾæ"
578,"večeras","tonight","word"," vˈɛtʃɛræs"
579,"ja","i","word"," jˈa"
