"item","definition","uni_lemma","type","IPA"
348,"abuelo","grandpa","word"," abwˈelo"
351,"bebé","baby","word"," βeβˈɛ"
355,"familia","family","word"," famˈilia"
356,"hermana","sister","word"," ɛrmˈana"
357,"hermano","brother","word"," ɛrmˈano"
358,"madrina","godmother","word"," maðɾˈina"
359,"maestra","teacher","word"," maˈɛstɾa"
360,"mamá","mommy","word"," mamˈa"
361,"nana","babysitter","word"," nˈana"
362,"niña","girl","word"," nˈiɲa"
363,"niño","boy","word"," nˈiɲo"
364,"(nombre del niño","child's own name","word"," nˈɔmbɾe ðɛl nˈiɲo"
365,"padrino","godfather","word"," paðɾˈino"
366,"papá","daddy","word"," papˈa"
368,"persona","person","word"," pɛrsˈona"
369,"policía","police","word"," pˌoliθˈia"
372,"señor","man","word"," seɲˈɔɾ"
373,"señora","woman","word"," seɲˈɔɾa"
374,"tía","aunt","word"," tˈia"
375,"tío","uncle","word"," tˈio"
376,"acerrín","kid's song","word"," ˌaθɛrˈin"
377,"adíos","bye","word"," aðˈios"
381,"besitos","kiss","word"," βesˈitos"
383,"buenos días","good morning","word"," bwˈenos ðˈias"
384,"buenas noches","good night","word"," bwˈenas nˈotʃes"
385,"cosquillitas","tickle","word"," kˌɔskiʝˈitas"
386,"gracias","thank you","word"," ɡɾˈaθjas"
387,"hola","hi","word"," ˈola"
388,"manos arriba","hands up","word"," mˈanos arˈiβa"
389,"ojitos","look at me","word"," oxˈitos"
392,"por favor","please","word"," pɔɾ faβˈɔɾ"
393,"salud","bless you","word"," salˈud"
394,"shhh","shh","word"," ʃ"
396,"tengo manita","have hands","word"," tˌɛŋɡo manˈita"
398,"tortillitas","pattycake","word"," tˌɔɾtiʝˈitas"
399,"uno dos tres...","one two three","word"," ˈuno ðˈos tɾˈes"
401,"ir(se)","go","word"," ˈiɾ sˈe"
403,"jugar","play","word"," xuɣˈaɾ"
406,"lavar(se)","wash","word"," laβˈaɾ sˈe"
407,"leer","read","word"," leˈɛɾ"
409,"llevar(se)","take","word"," ʝeβˈaɾ sˈe"
410,"llorar","cry","word"," ʝɔɾˈaɾ"
412,"meter(se)","put","word"," metˈɛɾ sˈe"
413,"mirar","look","word"," miɾˈaɾ"
414,"morder","bite","word"," mɔrdˈɛɾ"
417,"parar(se)","stop","word"," paɾˈaɾ sˈe"
420,"pegar(se)","hit","word"," peɣˈaɾ sˈe"
421,"peinar(se)","comb (action)","word"," peɪnˈaɾ sˈe"
424,"pintar","paint (action)","word"," pintˈaɾ"
426,"poder","can (auxiliary)","word"," poðˈɛɾ"
427,"poner(se)","put","word"," ponˈɛɾ sˈe"
428,"prender","turn on","word"," pɾɛndˈɛɾ"
431,"querer","wanna","word"," kɛɾˈɛɾ"
434,"romper","break","word"," rɔmpˈɛɾ"
436,"sacar","take out","word"," sakˈaɾ"
440,"sentar(se)","sit","word"," sɛntˈaɾ sˈe"
441,"soplar","blow","word"," sɔplˈaɾ"
