"item","definition","uni_lemma","type","IPA"
587,"Komik","funny","word"," komˈɪk"
591,"Küçük","little (description)","word"," cytʃˈøk"
593,"Pis","dirty","word"," pˈɪs"
597,"Sıcak","hot","word"," sɯdʒˈak"
599,"Soğuk","cold","word"," sɔː ˈʊk"
601,"Tatlı","sweet","word"," tatlˈɯ"
602,"Temiz","clean (description)","word"," tˈemɪz"
612,"Yaramaz","naughty","word"," jaɾamˈaz"
614,"Yeni","new","word"," jenˈɪ"
615,"Akşam","evening","word"," akʃˈam"
617,"Bugün","today","word"," buɡˈøn"
619,"Gece","night","word"," ɟedʒˈɛ"
620,"Hemen","now","word"," hemˈɛn"
624,"Sabah","morning","word"," sabˈah"
626,"Şimdi","now","word"," ʃɪmdˈɪ"
628,"Bana","me","word"," banˈa"
629,"Ben","i","word"," bˈɛn"
630,"Benim","my","word"," bˈenɪm"
631,"Bu","this","word"," bˈʊ"
634,"Sen","you","word"," sˈɛn"
635,"Senin","your","word"," sˈenɪn"
638,"Şu","that","word"," ʃˈʊ"
641,"O","that","word"," ˈɔ"
642,"Ona","it","word"," onˈa"
644,"Onun","his","word"," onˈʊn"
646,"Sana","to you","word"," sˈana"
647,"Biri","someone","word"," birˈɪ"
651,"Kim","who","word"," cˈɪm"
652,"Nasıl","how","word"," nasˈɯl"
653,"Ne","what","word"," nˈɛ"
655,"Neden","why","word"," nedˈɛn"
657,"Nereye","where (question)","word"," nˈerejɛ"
658,"Nerede","where (question)","word"," nˈeredɛ"
660,"Niye","why","word"," nijˈɛ"
661,"Altında","under","word"," altɯndˈa"
663,"Arkasında","back (location)","word"," arkasɯndˈa"
665,"Burada","here","word"," bˈurada"
666,"Dışarıda","out","word"," dɯʃaɾɯdˈa"
669,"İçeride","inside","word"," itʃeɾidˈɛ"
670,"İçinde","in","word"," itʃɪndˈɛ"
673,"Orada","there","word"," ˈorada"
675,"Önünde","front","word"," œnøndˈɛ"
676,"Şurada","there","word"," ʃˈurada"
678,"Üstünde","on","word"," østøndˈɛ"
686,"Biraz","some","word"," biɾˈaz"
688,"Çok","much","word"," tʃˈɔk"
689,"Daha","more","word"," dahˈa"
695,"Hepsi","all","word"," hɛpsˈɪ"
696,"Hiç","none","word"," hˈɪtʃ"
698,"İşte","here","word"," ɪʃtˈɛ"
699,"Öbürü","other","word"," œbyrˈø"
703,"Yine","again","word"," jinˈɛ"
