"item","definition","uni_lemma","type","IPA"
476,"saltare","jump","word"," saltˈaːre"
477,"salutare","greet","word"," sˌalʊtˈaːre"
481,"scrivere","write","word"," skrˈivere"
482,"sedersi","sit","word"," sedˈeːrsɪ"
483,"sentire","hear","word"," sentˈiːre"
484,"soffiare","blow","word"," soffjˈaːre"
486,"spegnere","put out","word"," spˈeɲere"
487,"spingere","push","word"," spˈindʒere"
489,"sputare","spit","word"," spʊtˈaːre"
496,"tirare","pull","word"," tirˈaːre"
497,"toccare","touch","word"," tokːˈaːre"
499,"uscire","go out","word"," ʊʃˈiːre"
500,"vedere","see","word"," vedˈeːre"
501,"venire","come","word"," venˈiːre"
503,"volare","fly (action)","word"," volˈaːre"
505,"alto","high","word"," ˈalto"
508,"arrabbiato","angry","word"," ˌarɾabːjˈaːto"
509,"asciutto","dry (description)","word"," aʃˈutːo"
510,"attento","careful","word"," atːˈɛnto"
511,"bagnato","wet (description)","word"," baɲˈaːto"
512,"bello","nice","word"," bˈɛllo"
515,"brutto","ugly","word"," brˈutːo"
516,"buio","dark","word"," bˈuio"
517,"buono","good","word"," bwˈɔːno"
518,"caldo","hot","word"," kˈaldo"
520,"carino","cute","word"," karˈiːno"
521,"cattivo","bad","word"," katːˈiːvo"
522,"contento","happy","word"," kontˈɛnto"
524,"disubbidiente","naughty","word"," dˌizʊbːˌidiˈɛnte"
525,"dolce","sweet","word"," dˈoltʃe"
526,"duro","hard","word"," dˈuːro"
527,"felice","happy","word"," felˈiːtʃe"
529,"finito","finished","word"," finˈiːto"
530,"forte","loud","word"," fˈɔːrte"
531,"freddo","cold","word"," frˈedːo"
533,"giallo","yellow","word"," dʒˈallo"
534,"grande","big","word"," ɡrˈande"
538,"malato","sick","word"," malˈaːto"
540,"morbido","soft","word"," mˈɔrbido"
541,"nero","black","word"," nˈeːro"
542,"nuovo","new","word"," nwˈɔːvo"
544,"pesante","heavy","word"," pezˈante"
545,"piano","slow","word"," piˈaːno"
546,"piccolo","little (description)","word"," pˈikːolo"
547,"pieno","full","word"," pjˈɛːno"
549,"pulito","clean (description)","word"," pʊlˈiːto"
550,"rosso","red","word"," rˈosso"
551,"rotto","broken","word"," rˈotːo"
557,"sporco","dirty","word"," spˈɔːrko"
558,"stanco","tired","word"," stˈanko"
561,"triste","sad","word"," trˈiste"
566,"vuoto","empty","word"," vwˈɔːto"
567,"adesso","now","word"," adˈɛsso"
568,"domani","tomorrow","word"," domˈaːnɪ"
569,"dopo","after","word"," dˈoːpo"
571,"ieri","yesterday","word"," jˈɛːrɪ"
572,"mattina","morning","word"," matːˈiːna"
573,"notte","night","word"," nˈɔtːe"
574,"oggi","today","word"," ˈɔdʒːɪ"
578,"tardi","late","word"," tˈaːrdɪ"
579,"io","i","word"," ˈiːo"
580,"tu","you","word"," tˈu"
581,"lui","he","word"," lˈuɪ"
582,"lei","she","word"," lˈɛj"
583,"noi","we","word"," nˈɔɪ"
584,"voi","you","word"," vˈɔɪ"
585,"loro","they","word"," lˈɔro"
586,"mio","my","word"," mˈio"
587,"tuo","your","word"," twˈo"
588,"suo","his","word"," swˈo"
591,"me","me","word"," mˈe"
597,"quello","that","word"," kwˈɛllo"
598,"questo","this","word"," kwˈɛsto"
602,"che","what","word"," kˈe"
603,"chi","who","word"," kˈi"
604,"come","how","word"," kˈoːme"
605,"dove","where (question)","word"," dˈoːve"
606,"perchè","why","word"," perkˈɛ"
608,"quando","when (question)","word"," kwˈando"
626,"il","the","word"," ˈil"
627,"lo","the","word"," lˈo"
628,"la","the","word"," lˈa"
629,"i","the","word"," ˈiː"
630,"gli","the","word"," ʎˈɪ"
631,"le","the","word"," lˈe"
632,"un","a","word"," ˈʊn"
635,"altro","another","word"," ˈaltro"
