"cue","target","normed","proportion"
"nothing","none","YES",0.038
"nothing","all","YES",0.027
"nothing","there","YES",0.016
"now","later","NO",0.576
"now","here","YES",0.028
"now","present","YES",0.021
"now","time","YES",0.014
"off","on","YES",0.897
"off","dark","YES",0.021
"old","new","YES",0.473
"old","man","YES",0.034
"old","house","YES",0.014
"olive","green","YES",0.108
"olive","black","YES",0.061
"olive","food","YES",0.054
"olive","tree","YES",0.034
"olive","eat","YES",0.014
"on","off","YES",0.878
"on","top","YES",0.027
"on","light","YES",0.014
"on","under","YES",0.014
"open","close","YES",0.723
"open","door","YES",0.061
"open","enter","YES",0.034
"open","window","YES",0.014
"other","different","YES",0.152
"other","another","YES",0.083
"other","person","YES",0.053
"other","same","YES",0.053
"other","many","YES",0.015
"other","someone","NO",0.015
"other","that","NO",0.015
"ouch","hurt","YES",0.401
"out","in","YES",0.804
"out","outside","YES",0.014
"outside","inside","YES",0.497
"outside","tree","YES",0.072
"outside","hot","YES",0.065
"outside","sun","YES",0.059
"outside","playground","YES",0.026
"outside","grass","YES",0.02
"outside","open","YES",0.013
"outside","park","YES",0.013
"outside","play","YES",0.013
"outside","rain","YES",0.013
"outside","yard","YES",0.013
"oven","stove","YES",0.224
"oven","hot","YES",0.212
"oven","food","YES",0.018
"oven","toast","YES",0.012
"owl","night","YES",0.311
"owl","bird","YES",0.182
"owl","tree","YES",0.041
"owl","animal","YES",0.014
"paint","brush","YES",0.327
"paint","draw","YES",0.127
"paint","house","YES",0.055
"paint","wet","YES",0.042
"paint","picture","YES",0.036
"paint","red","YES",0.024
"paint","wall","YES",0.024
"paint","blue","YES",0.018
"paint","white","YES",0.018
"paint","can","YES",0.012
"paint","smell","YES",0.012
"pajamas","sleep","YES",0.359
"pajamas","nightgown","YES",0.16
"pajamas","bed","YES",0.135
"pajamas","night","YES",0.045
"pajamas","underwear","YES",0.026
"pajamas","party","YES",0.013
"pajamas","wear","YES",0.013
"pants","shirt","YES",0.185
"pants","jeans","YES",0.136
"pants","shorts","YES",0.071
"pants","skirt","YES",0.038
"pants","wear","YES",0.038
"pants","man","YES",0.033
"pants","off","YES",0.022
"pants","blue","YES",0.016
"pants","zipper","YES",0.016
"pants","down","YES",0.011
"pants","dress","YES",0.011
"pants","red","YES",0.011
"pants","top","YES",0.011
"paper","pen","YES",0.3
"paper","write","YES",0.144
"paper","book","YES",0.039
"paper","tree","YES",0.028
"paper","school","YES",0.017
"paper","white","YES",0.017
"paper","bag","YES",0.011
"park","tree","YES",0.115
"park","car","YES",0.108
"park","playground","YES",0.068
"park","stop","YES",0.061
"park","drive","YES",0.047
"park","grass","YES",0.034
"park","zoo","YES",0.034
"park","play","YES",0.027
"park","ride","YES",0.02
"park","sit","YES",0.02
"parrot","bird","YES",0.628
"parrot","talk","YES",0.11
"parrot","green","YES",0.028
"parrot","cracker","YES",0.021
"party","animal","YES",0.158
"party","cake","YES",0.033
"party","time","YES",0.033
"party","naked","NO",0.022
"party","yes","YES",0.022
"party","dance","YES",0.016
"party","go","YES",0.016
"party","good","YES",0.016
"party","night","YES",0.016
"party","now","YES",0.016
"party","people","YES",0.016
"party","down","YES",0.011
"party","friend","YES",0.011
"party","music","YES",0.011
"pass","go","YES",0.122
"pass","out","YES",0.061
"pass","throw","YES",0.041
"pass","by","NO",0.027
"pass","car","YES",0.027
"pass","leave","YES",0.027
"pass","drive","YES",0.014
"pass","play","YES",0.014
"pass","run","YES",0.014
"pasta","spaghetti","YES",0.243
"pasta","noodles","YES",0.088
"pasta","sauce","YES",0.074
"pasta","meatball","NO",0.014
"pastry","sweet","YES",0.1
"pastry","cake","YES",0.08
"pastry","food","YES",0.047
"pastry","fat","YES",0.027
"pastry","good","YES",0.027
"pastry","eat","YES",0.02
"pastry","apple","YES",0.013
"pastry","bread","YES",0.013
"peach","fruit","YES",0.206
"peach","pear","YES",0.072
"peach","apple","YES",0.062
"peach","tree","YES",0.021
"peanut","butter","YES",0.489
"peanut","elephant","YES",0.036
"pear","fruit","YES",0.347
"pear","apple","YES",0.252
"pear","peach","YES",0.048
"pear","green","YES",0.034
"pear","look","YES",0.034
"pear","friend","YES",0.02
"pear","tree","YES",0.014
"peas","green","YES",0.264
"peas","carrots","YES",0.101
"peas","beans","YES",0.081
"peas","food","YES",0.02
"peas","soup","YES",0.02
"peas","eat","YES",0.014
"peas","pot","YES",0.014
"pen","paper","YES",0.109
"pen","write","YES",0.065
"penguin","bird","YES",0.327
"penguin","cold","YES",0.109
"penguin","animal","YES",0.045
"penguin","black","YES",0.026
"penguin","snow","YES",0.019
"penguin","cute","YES",0.013
"penguin","walk","YES",0.013
"penny","money","YES",0.195
"people","person","YES",0.115
"people","friend","YES",0.101
"people","different","YES",0.041
"people","family","YES",0.027
"people","animal","YES",0.02
"people","many","YES",0.02
"people","nice","YES",0.02
"pepper","hot","YES",0.112
"person","people","YES",0.257
"person","man","YES",0.122
"person","friend","YES",0.074
"person","animal","YES",0.054
"person","child","YES",0.014
"person","dog","YES",0.014
"person","girl","YES",0.014
"person","me","YES",0.014
"person","someone","NO",0.014
"person","woman","YES",0.014
"phone","talk","YES",0.145
"phone","friend","YES",0.021
"phone","home","YES",0.014
"picture","camera","YES",0.051
"picture","wall","YES",0.041
"picture","paint","YES",0.031
"pig","fat","YES",0.078
"pig","mud","YES",0.05
"pig","oink","NO",0.044
"pig","pen","YES",0.044
"pig","animal","YES",0.028
"pig","ham","YES",0.028
"pig","cow","YES",0.022
"pig","dirty","YES",0.011
"pig","eat","YES",0.011
"pig","tree","YES",0.011
"pig","ugly","YES",0.011
"pillow","sleep","YES",0.321
"pillow","soft","YES",0.236
"pillow","bed","YES",0.133
"pillow","fight","YES",0.042
"pillow","head","YES",0.024
"pillow","talk","YES",0.024
"pillow","blanket","YES",0.018
"pillow","throw","YES",0.018
"pillow","down","YES",0.012
"pipe","cigarette","YES",0.02
"pizza","food","YES",0.149
"pizza","cheese","YES",0.135
"pizza","good","YES",0.081
"pizza","eat","YES",0.027
"pizza","sauce","YES",0.014
"plant","green","YES",0.256
"plant","flower","YES",0.128
"plant","tree","YES",0.128
"plant","animal","YES",0.05
"plant","leaf","YES",0.033
"plant","garden","YES",0.022
"plant","pot","YES",0.011
"plate","dish","YES",0.23
"plate","food","YES",0.218
"plate","fork","YES",0.115
"plate","eat","YES",0.109
"plate","cup","YES",0.048
"plate","bowl","YES",0.042
"plate","glass","YES",0.036
"plate","dinner","YES",0.03
"plate","spoon","YES",0.024
"play","ball","YES",0.134
"play","ground","YES",0.06
"play","child","YES",0.02
"play","fight","YES",0.013
"play","horse","YES",0.013
"play","music","YES",0.013
"play","pen","YES",0.013
"play","school","YES",0.013
"play","sleep","YES",0.013
"playground","children","YES",0.172
"playground","park","YES",0.101
"playground","field","YES",0.061
"playground","yard","YES",0.061
"playground","school","YES",0.051
"please","happy","YES",0.079
"please","no","YES",0.041
"please","don't","NO",0.021
"please","help","YES",0.021
"please","nice","YES",0.021
"please","yes","YES",0.021
"please","do","YES",0.014
"please","me","YES",0.014
"policeman","pig","YES",0.065
"policeman","blue","YES",0.045
"policeman","car","YES",0.013
"policeman","dog","YES",0.013
"pony","horse","YES",0.752
"pony","ride","YES",0.055
"pool","swim","YES",0.274
"pool","table","YES",0.067
"pool","blue","YES",0.028
"pool","cold","YES",0.017
"pool","man","YES",0.017
"pool","party","YES",0.017
"porch","light","YES",0.212
"porch","house","YES",0.137
"porch","chair","YES",0.034
"porch","monkey","YES",0.034
"porch","front","YES",0.027
"porch","outside","YES",0.027
"porch","car","YES",0.014
"porch","sit","YES",0.014
"pot","stove","YES",0.079
"pot","plant","YES",0.071
"pot","flower","YES",0.036
"pot","kitchen","YES",0.029
"pot","tea","YES",0.021
"pot","bowl","YES",0.014
"pot","food","YES",0.014
"potato","head","YES",0.047
"potato","tomato","YES",0.034
"potato","butter","YES",0.027
"potato","eat","YES",0.02
"potato","food","YES",0.02
"potato","cheese","YES",0.014
"potato","fat","YES",0.014
"potato","hot","YES",0.014
"potato","meat","YES",0.014
"present","now","YES",0.069
"present","here","YES",0.055
"present","box","YES",0.014
"present","show","YES",0.014
"press","push","YES",0.078
"press","box","YES",0.026
"press","button","YES",0.026
"press","pull","YES",0.026
"press","hard","YES",0.02
"press","room","YES",0.02
"pretend","play","YES",0.061
"pretend","lie","YES",0.014
"pretty","ugly","YES",0.473
"pretty","girl","YES",0.149
"pretty","beautiful","YES",0.095
"pretty","cute","YES",0.054
"pretty","nice","YES",0.034
"pretty","flower","YES",0.014
"pretty","hot","YES",0.014
"pudding","chocolate","YES",0.318
"pudding","cake","YES",0.027
"pudding","sweet","YES",0.027
"pudding","food","YES",0.014
"pudding","good","YES",0.014
"puddle","mud","YES",0.2
"puddle","rain","YES",0.179
"puddle","wet","YES",0.114
"puddle","dog","YES",0.021
"puddle","splash","YES",0.014
"pull","push","YES",0.594
"pull","empty","YES",0.039
"pull","rope","YES",0.017
"pull","hold","YES",0.011
"puppy","dog","YES",0.752
"puppy","love","YES",0.057
"puppy","cute","YES",0.028
"puppy","baby","YES",0.014
"purse","money","YES",0.203
"purse","girl","YES",0.035
"push","pull","YES",0.397
"push","open","YES",0.022
"push","button","YES",0.016
"push","door","YES",0.016
"push","fight","YES",0.016
"push","hard","YES",0.011
"push","in","YES",0.011
"push","up","YES",0.011
"put","down","YES",0.1
"put","take","YES",0.078
"put","get","YES",0.022
"put","in","YES",0.022
"put","away","YES",0.017
"put","give","YES",0.017
"put","on","YES",0.017
"put","out","YES",0.017
"put","do","YES",0.011
"quick","fast","YES",0.408
"quick","slow","YES",0.272
"quick","run","YES",0.054
"quick","easy","YES",0.011
"quick","fox","YES",0.011
"quick","hurry","YES",0.011
"quick","stop","YES",0.011
"radio","music","YES",0.27
"radio","loud","YES",0.034
"radio","box","YES",0.02
"radio","hear","YES",0.014
"rag","cloth","YES",0.245
"rag","towel","YES",0.15
"rag","doll","YES",0.136
"rag","dirty","YES",0.034
"rag","old","YES",0.034
"rag","dish","YES",0.02
"rag","dust","YES",0.02
"rag","wash","YES",0.02
"rag","tear","YES",0.014
"rain","wet","YES",0.244
"rain","snow","YES",0.122
"rain","sun","YES",0.064
"rain","umbrella","YES",0.038
"rain","cloud","YES",0.032
"rain","drop","YES",0.032
"rain","shower","YES",0.032
"rain","coat","YES",0.019
"rain","puddle","YES",0.019
"raisin","sun","YES",0.101
"raisin","fruit","YES",0.061
"raisin","bread","YES",0.04
"raisin","cereal","YES",0.03
"raisin","sweet","YES",0.02
"rattle","snake","YES",0.464
"rattle","baby","YES",0.29
"rattle","shake","YES",0.058
"read","book","YES",0.389
"read","write","YES",0.333
"read","paper","YES",0.011
"red","blue","YES",0.26
"red","white","YES",0.126
"red","black","YES",0.039
"red","dress","YES",0.024
"red","green","YES",0.024
"red","yellow","YES",0.024
"red","hair","YES",0.016
"refrigerator","food","YES",0.424
"refrigerator","cold","YES",0.265
"refrigerator","oven","YES",0.015
"refrigerator","stove","YES",0.015
"rice","food","YES",0.082
"rice","white","YES",0.075
"rice","beans","YES",0.041
"rice","field","YES",0.027
"rice","potato","YES",0.021
"rice","eat","YES",0.014
"rice","pudding","YES",0.014
"ride","horse","YES",0.372
"ride","car","YES",0.159
"ride","walk","YES",0.069
"ride","bicycle","YES",0.055
"ride","drive","YES",0.021
"ride","fast","YES",0.021
"ride","pony","YES",0.021
"ride","go","YES",0.014
"ride","run","YES",0.014
"road","street","YES",0.348
"road","car","YES",0.045
"road","drive","YES",0.04
"road","travel","YES",0.03
"rock","stone","YES",0.269
"rock","hard","YES",0.096
"rock","music","YES",0.045
"rock","chair","YES",0.032
"rock","star","YES",0.019
"rock","earth","YES",0.013
"rock","sand","YES",0.013
"roof","house","YES",0.307
"roof","top","YES",0.197
"roof","floor","YES",0.031
"roof","rain","YES",0.016
"room","bedroom","YES",0.15
"room","house","YES",0.118
"room","wall","YES",0.055
"room","living room","YES",0.047
"room","door","YES",0.039
"room","closet","YES",0.024
"room","chair","YES",0.016
"room","empty","YES",0.016
"room","home","YES",0.016
"rooster","hen","YES",0.309
"rooster","crow","YES",0.113
"rooster","morning","YES",0.062
"rooster","red","YES",0.021
"rope","jump","YES",0.061
"rope","climb","YES",0.056
"rope","pull","YES",0.028
"rope","ladder","YES",0.022
"rope","boat","YES",0.017
"rope","soap","YES",0.011
"run","walk","YES",0.493
"run","fast","YES",0.067
"run","away","YES",0.02
"run","jump","YES",0.013
"run","tired","YES",0.013
"sad","happy","YES",0.634
"sad","cry","YES",0.058
"sad","blue","YES",0.026
"sad","tear","YES",0.026
"same","different","YES",0.534
"sand","beach","YES",0.717
"sand","sea","YES",0.016
"sandals","feet","YES",0.209
"sandals","beach","YES",0.135
"sandals","sand","YES",0.02
"sandals","hot","YES",0.014
"sandwich","food","YES",0.207
"sandwich","ham","YES",0.111
"sandwich","bread","YES",0.067
"sandwich","eat","YES",0.059
"sandwich","turkey","YES",0.059
"sandwich","hungry","YES",0.037
"sandwich","lunch","YES",0.037
"sandwich","meat","YES",0.022
"sandwich","cold","YES",0.015
"sandwich","soup","YES",0.015
"sauce","spaghetti","YES",0.468
"sauce","tomato","YES",0.144
"sauce","food","YES",0.022
"sauce","meat","YES",0.022
"sauce","pizza","YES",0.022
"sauce","red","YES",0.022
"sauce","apple","YES",0.014
"sauce","cover","YES",0.014
"save","money","YES",0.156
"save","help","YES",0.044
"save","store","YES",0.017
"save","collect","YES",0.011
"say","talk","YES",0.219
"say","do","YES",0.11
"say","no","YES",0.048
"say","tell","YES",0.041
"say","what","YES",0.014
"say","write","YES",0.014
"scared","dark","YES",0.021
"scared","run","YES",0.021
"scared","happy","YES",0.014
"scarf","neck","YES",0.162
"scarf","hat","YES",0.121
"scarf","cold","YES",0.071
"scarf","head","YES",0.04
"scarf","red","YES",0.04
"scarf","wind","YES",0.04
"scarf","black","YES",0.02
"scarf","cloth","YES",0.02
"scarf","dress","YES",0.02
"scarf","girl","YES",0.02
"scary","dark","YES",0.061
"scary","ugly","YES",0.014
"school","book","YES",0.071
"school","bus","YES",0.071
"school","teacher","YES",0.036
"school","hard","YES",0.026
"school","child","YES",0.015
"school","house","YES",0.015
"school","day","YES",0.01
"school","friend","YES",0.01
"school","time","YES",0.01
"school","yard","YES",0.01
"scissors","knife","YES",0.024
"scissors","paper","YES",0.012
"sea","beach","YES",0.033
"sea","blue","YES",0.033
"sea","green","YES",0.022
"sea","boat","YES",0.011
"sea","hand","YES",0.011
"sea","sky","YES",0.011
"see","eye","YES",0.25
"see","look","YES",0.239
"see","hear","YES",0.089
"see","glasses","YES",0.022
"see","dog","YES",0.017
"see","light","YES",0.017
"seek","find","YES",0.535
"seek","look","YES",0.242
"seek","hide","YES",0.101
"self","me","YES",0.479
"self","person","YES",0.049
"self","i","YES",0.028
"self","other","YES",0.028
"shake","rattle","YES",0.142
"shake","milk","YES",0.135
"shake","chocolate","YES",0.078
"shake","cold","YES",0.028
"shake","dance","YES",0.021
"shake","down","YES",0.014
"shake","ice cream","YES",0.014
"shake","well","YES",0.014
"shame","bad","YES",0.096
"shame","hide","YES",0.015
"shame","hurt","YES",0.01
"she","he","YES",0.74
"she","her","YES",0.123
"she","girl","YES",0.039
"she","wolf","YES",0.013
"sheep","lamb","YES",0.162
"sheep","animal","YES",0.047
"sheep","goat","YES",0.047
"sheep","dog","YES",0.034
"sheep","black","YES",0.014
"sheep","cow","YES",0.014
"sheep","field","YES",0.014
"sheep","smell","YES",0.014
"sheep","sweater","YES",0.014
"sheep","white","YES",0.014
"ship","boat","YES",0.575
"ship","sea","YES",0.071
"ship","sink","YES",0.031
"ship","yard","YES",0.024
"shirt","pants","YES",0.269
"shirt","button","YES",0.064
"shirt","wear","YES",0.032
"shirt","skirt","YES",0.026
"shirt","jacket","YES",0.019
"shirt","top","YES",0.019
"shirt","back","YES",0.013
"shirt","shorts","YES",0.013
"shirt","sweater","YES",0.013
"shoe","foot","YES",0.321
"shoe","sock","YES",0.212
"shoe","sandals","YES",0.032
"shoe","tree","YES",0.013
"shorts","pants","YES",0.272
"shorts","shirt","YES",0.252
"shorts","skirt","YES",0.041
"shorts","sun","YES",0.02
"shorts","warm","YES",0.02
"shorts","hot","YES",0.014
"shorts","jeans","YES",0.014
"shorts","top","YES",0.014
"shout","loud","YES",0.19
"shovel","snow","YES",0.19
"shovel","dig","YES",0.127
"shovel","sand","YES",0.021
"shovel","spade","YES",0.021
"shovel","fork","YES",0.014
"shovel","spoon","YES",0.014
"show","tell","YES",0.128
"show","play","YES",0.054
"show","time","YES",0.047
"show","see","YES",0.041
"show","dance","YES",0.034
"show","present","YES",0.027
"show","boat","YES",0.02
"show","hide","YES",0.02
"show","off","YES",0.02
"show","horse","YES",0.014
"show","look","YES",0.014
"shower","cap","YES",0.125
"shower","bath","YES",0.109
"shower","curtain","YES",0.076
"shower","soap","YES",0.049
"shower","wet","YES",0.049
"shower","cold","YES",0.027
"shower","warm","YES",0.027
"shower","hair","YES",0.011
"shower","head","YES",0.011
"shower","rain","YES",0.011
"shower","wash","YES",0.011
"shutter","window","YES",0.48
"shutter","house","YES",0.068
"shutter","shake","YES",0.047
"shutter","bug","YES",0.034
"shutter","scared","YES",0.027
"shutter","camera","YES",0.02
"shutter","cold","YES",0.02
"shutter","home","YES",0.02
"shutter","close","YES",0.014
"shutter","door","YES",0.014
"sibling","sister","YES",0.303
"sibling","brother","YES",0.289
"sibling","child","YES",0.053
"sibling","family","YES",0.026
"sibling","fight","YES",0.02
"sibling","baby","YES",0.013
"sibling","friend","YES",0.013
"sick","well","YES",0.102
"sick","cold","YES",0.094
"sick","doctor","YES",0.031
"sick","bed","YES",0.024
"sick","hurt","YES",0.016
"sick","medicine","YES",0.016
"sing","dance","YES",0.078
"sing","music","YES",0.033
"sing","loud","YES",0.028
"sing","talk","YES",0.028
"sing","laugh","YES",0.022
"sing","happy","YES",0.011
"sing","play","YES",0.011
"sing","shout","YES",0.011
"sink","swim","YES",0.115
"sink","faucet","YES",0.074
"sink","fall","YES",0.041
"sink","boat","YES",0.034
"sink","kitchen","YES",0.034
"sink","down","YES",0.02
"sink","ship","YES",0.02
"sink","bathroom","YES",0.014
"sink","stove","YES",0.014
"sister","brother","YES",0.538
"sister","friend","YES",0.069
"sister","sibling","YES",0.062
"sister","girl","YES",0.041
"sister","family","YES",0.028
"sister","none","YES",0.021
"sister","love","YES",0.014
"sit","stand","YES",0.348
"sit","chair","YES",0.183
"sit","down","YES",0.172
"sit","lie","YES",0.017
"skirt","dress","YES",0.295
"skirt","shirt","YES",0.083
"skirt","pants","YES",0.071
"skirt","girl","YES",0.032
"skirt","top","YES",0.019
"skirt","full","YES",0.013
"skirt","shorts","YES",0.013
"sky","blue","YES",0.522
"sky","cloud","YES",0.228
"sky","sun","YES",0.039
"sky","high","YES",0.017
"sky","ground","YES",0.011
"sky","star","YES",0.011
"sky","up","YES",0.011
"sleep","bed","YES",0.092
"sleep","tired","YES",0.092
"sleep","night","YES",0.061
"sleep","pillow","YES",0.02
"sleepy","tired","YES",0.66
"sleepy","bed","YES",0.053
"sleepy","time","YES",0.02
"sleepy","sleep","YES",0.013
"slow","fast","YES",0.527
"slow","turtle","YES",0.115
"slow","down","YES",0.068
"slow","stop","YES",0.034
"slow","old","YES",0.02
"slow","walk","YES",0.014
"smart","quick","YES",0.013
"smell","nose","YES",0.116
"smell","bad","YES",0.051
"smell","food","YES",0.014
"smell","good","YES",0.014
"smile","happy","YES",0.333
"smile","laugh","YES",0.106
"smile","face","YES",0.039
"smile","love","YES",0.017
"smile","beautiful","YES",0.011
"smile","mouth","YES",0.011
"smile","pretty","YES",0.011
"snake","bite","YES",0.279
"snake","rattle","YES",0.085
"snake","grass","YES",0.048
"snake","animal","YES",0.036
"snake","worm","YES",0.03
"snake","spider","YES",0.012
"snake","ugly","YES",0.012
"snow","white","YES",0.314
"snow","cold","YES",0.199
"snow","rain","YES",0.045
"snow","fall","YES",0.038
"snow","man","YES",0.019
"snow","ball","YES",0.013
"soap","dish","YES",0.136
"soap","wash","YES",0.076
"soap","shower","YES",0.022
"soap","smell","YES",0.022
"soap","bath","YES",0.016
"soap","wet","YES",0.016
"soap","cloth","YES",0.011
"sock","shoe","YES",0.617
"sock","foot","YES",0.172
"sock","hit","YES",0.033
"sock","hop","YES",0.028
"soda","can","YES",0.034
"soda","cold","YES",0.014
"soft","hard","YES",0.509
"soft","baby","YES",0.036
"soft","gentle","YES",0.03
"soft","nice","YES",0.024
"soft","pillow","YES",0.018
"soft","warm","YES",0.018
"soft","breast","YES",0.012
"soft","hair","YES",0.012
"soft","light","YES",0.012
"soft","pretty","YES",0.012
"soft","touch","YES",0.012
"some","many","YES",0.193
"some","none","YES",0.093
"some","all","YES",0.086
"some","more","YES",0.043
"some","time","YES",0.029
"some","any","NO",0.014
"soup","tomato","YES",0.103
"soup","sandwich","YES",0.085
"soup","hot","YES",0.073
"soup","bowl","YES",0.036
"soup","food","YES",0.036
"soup","cracker","YES",0.03
"soup","noodles","YES",0.024
"soup","spoon","YES",0.024
"soup","can","YES",0.018
"soup","eat","YES",0.018
"soup","dinner","YES",0.012
"soup","sick","YES",0.012
"spade","shovel","YES",0.155
"spade","black","YES",0.034
"spade","dig","YES",0.034
"spade","garden","YES",0.034
"spade","dog","YES",0.027
"spaghetti","sauce","YES",0.247
"spaghetti","food","YES",0.078
"spaghetti","noodles","YES",0.078
"spaghetti","pasta","YES",0.078
"spaghetti","dinner","YES",0.013
"spaghetti","eat","YES",0.013
"spaghetti","tomato","YES",0.013
"sparrow","bird","YES",0.745
"spider","bug","YES",0.127
"spider","man","YES",0.056
"spider","fly","YES",0.016
"spider","monkey","YES",0.016
"spill","milk","YES",0.223
"spill","drop","YES",0.061
"spill","splash","YES",0.02
"spill","wipe","YES",0.02
"spill","towel","YES",0.014
"spinach","green","YES",0.257
"spinach","leaf","YES",0.02
"spinach","cabbage","YES",0.013
"spinach","eat","YES",0.013
"spinach","soup","YES",0.013
"spit","mouth","YES",0.039
"spit","swallow","YES",0.033
"spit","dirty","YES",0.02
"spit","ground","YES",0.02
"spit","ball","YES",0.013
"spit","bucket","YES",0.013
"spit","face","YES",0.013
"spit","up","YES",0.013
"splash","pool","YES",0.107
"splash","wet","YES",0.067
"splash","swim","YES",0.013
"splash","wave","YES",0.013
"spoon","fork","YES",0.614
"spoon","eat","YES",0.063
"spoon","knife","YES",0.055
"spoon","soup","YES",0.039
"spoon","cereal","YES",0.024
"spoon","baby","YES",0.016
"spoon","feed","YES",0.016
"spoon","food","YES",0.016
"spoon","sugar","YES",0.016
"squeak","mouse","YES",0.288
"squeak","door","YES",0.062
"squeak","shoe","YES",0.021
"squeak","car","YES",0.014
"squirrel","tree","YES",0.128
"squirrel","animal","YES",0.122
"squirrel","cute","YES",0.027
"stairs","climb","YES",0.225
"stairs","up","YES",0.139
"stairs","elevator","YES",0.079
"stairs","walk","YES",0.06
"stairs","fall","YES",0.033
"stairs","house","YES",0.026
"stairs","ladder","YES",0.026
"stairs","down","YES",0.013
"stairs","tired","YES",0.013
"stand","sit","YES",0.534
"stand","up","YES",0.088
"stand","fall","YES",0.054
"stand","walk","YES",0.054
"stand","feet","YES",0.02
"star","sky","YES",0.186
"star","moon","YES",0.115
"star","sun","YES",0.09
"star","light","YES",0.058
"star","night","YES",0.051
"stick","stone","YES",0.078
"stick","ball","YES",0.044
"stick","tree","YES",0.028
"stick","dog","YES",0.017
"stick","up","YES",0.017
"stick","candy","YES",0.011
"stick","hit","YES",0.011
"stick","hold","YES",0.011
"stick","mud","YES",0.011
"stone","rock","YES",0.629
"stone","hard","YES",0.081
"stone","throw","YES",0.03
"stone","cold","YES",0.015
"stone","face","YES",0.01
"stone","wall","YES",0.01
"stop","go","YES",0.615
"stop","red","YES",0.017
"stop","begin","YES",0.011
"store","buy","YES",0.142
"store","food","YES",0.071
"store","market","YES",0.039
"store","save","YES",0.031
"store","front","YES",0.024
"store","room","YES",0.024
"store","house","YES",0.016
"stove","hot","YES",0.285
"stove","oven","YES",0.279
"stove","top","YES",0.03
"stove","kitchen","YES",0.018
"stove","pipe","YES",0.018
"stove","warm","YES",0.012
"street","road","YES",0.314
"street","car","YES",0.077
"street","light","YES",0.071
"street","lamp","YES",0.058
"street","drive","YES",0.032
"street","block","YES",0.019
"street","house","YES",0.013
"strike","hit","YES",0.447
"strike","out","YES",0.076
"strike","ball","YES",0.023
"strike","blow","YES",0.015
"sugar","sweet","YES",0.433
"sugar","tea","YES",0.055
"sugar","coffee","YES",0.047
"sugar","candy","YES",0.024
"sugar","cookie","YES",0.016
"sugar","white","YES",0.016
"sun","moon","YES",0.15
"sun","hot","YES",0.087
"sun","warm","YES",0.087
"sun","beach","YES",0.055
"sun","light","YES",0.031
"sun","star","YES",0.016
"surprise","party","YES",0.247
"surprise","happy","YES",0.093
"surprise","present","YES",0.047
"swallow","bird","YES",0.191
"swallow","eat","YES",0.158
"swallow","food","YES",0.067
"swallow","cough","YES",0.018
"swallow","hard","YES",0.012
"swallow","neck","YES",0.012
"swallow","thirsty","YES",0.012
"sweater","cold","YES",0.169
"sweater","warm","YES",0.169
"sweater","shirt","YES",0.128
"sweater","hot","YES",0.068
"sweater","coat","YES",0.041
"sweater","jacket","YES",0.041
"sweater","vest","YES",0.02
"sweep","broom","YES",0.406
"sweep","floor","YES",0.083
"sweep","brush","YES",0.044
"sweep","vacuum","YES",0.044
"sweep","dust","YES",0.033
"sweep","carpet","YES",0.022
"sweet","candy","YES",0.162
"sweet","nice","YES",0.095
"sweet","sugar","YES",0.061
"sweet","chocolate","YES",0.041
"sweet","tooth","YES",0.027
"sweet","bitter","YES",0.02
"sweet","potato","YES",0.02
"sweet","good","YES",0.014
"swim","pool","YES",0.078
"swim","fast","YES",0.011
"swim","run","YES",0.011
"swim","sink","YES",0.011
"swim","splash","YES",0.011
"table","chair","YES",0.756
"table","cloth","YES",0.026
"table","eat","YES",0.026
"table","dinner","YES",0.019
"table","top","YES",0.019
"table","sit","YES",0.013
"take","give","YES",0.412
"take","get","YES",0.047
"take","away","YES",0.039
"take","have","YES",0.022
"take","home","YES",0.017
"take","leave","YES",0.011
"talk","sing","YES",0.04
"talk","loud","YES",0.024
"talk","phone","YES",0.024
"talk","fast","YES",0.016
"talk","say","YES",0.016
"tasty","good","YES",0.34
"tasty","food","YES",0.18
"tasty","sweet","YES",0.033
"tasty","smell","YES",0.02
"tasty","bitter","YES",0.013
"tasty","ice cream","YES",0.013
"tasty","pizza","YES",0.013
"tea","coffee","YES",0.369
"tea","bag","YES",0.087
"tea","cup","YES",0.054
"tea","hot","YES",0.034
"tea","lemon","YES",0.034
"tea","party","YES",0.02
"tea","pot","YES",0.013
"teacher","school","YES",0.128
"teacher","friend","YES",0.041
"teacher","smart","YES",0.041
"teacher","apple","YES",0.034
"teacher","book","YES",0.014
"teacher","help","YES",0.014
"teapot","tea","YES",0.182
"teapot","hot","YES",0.081
"teapot","coffee","YES",0.034
"teapot","cup","YES",0.027
"teapot","kitchen","YES",0.014
"teapot","stove","YES",0.014
"tear","cry","YES",0.303
"tear","sad","YES",0.076
"tear","paper","YES",0.055
"tear","eye","YES",0.041
"tear","drop","YES",0.034
"tear","shirt","YES",0.014
"tear","wear","YES",0.014
"telephone","talk","YES",0.107
"telephone","book","YES",0.021
"tell","say","YES",0.167
"tell","talk","YES",0.133
"tell","lie","YES",0.033
"tell","hear","YES",0.017
"tell","show","YES",0.011
"there","here","YES",0.743
"there","where","YES",0.02
"there","far","YES",0.013
"thin","fat","YES",0.563
"thirsty","hungry","YES",0.136
"thirsty","soda","YES",0.02
"thirsty","hot","YES",0.014
"thirsty","tired","YES",0.014
"thirsty","wet","YES",0.014
"throw","ball","YES",0.234
"throw","catch","YES",0.234
